time (s),Incoming data rate (b)
5,0
10,164480
15,493440
20,411200
25,493440
30,493440
35,411200
40,493440
45,493440
50,493440
55,493440
60,493440
65,493440
70,493440
75,493440
80,493440
85,493440
90,493440
95,493440
100,493440
105,493440
110,493440
115,493440
120,493440
125,493440
130,493440
135,493440
140,493440
145,493440
150,493440
155,493440
160,493440
165,493440
170,493440
175,493440
180,493440
185,493440
190,493440
195,493440
200,493440
205,493440
210,493440
215,493440
220,493440
225,493440
230,493440
235,493440
240,493440
245,493440
250,493440
255,493440
260,493440
265,493440
270,493440
275,493440
280,493440
285,493440
290,328960
295,164480
300,0
